Name,Address
Dingtea Cơ sở 49, "HH1A Bán đảo Linh Đàm, Hà Nội"
Dingtea Cơ sở 50, "252 Trần Khát Chân, Hà Nội"
Dingtea Cơ sở 51, "439 Hoàng Quốc Việt, Hà Nội"
Dingtea Cơ sở 52, "156 Lạc Trung, Hà Nội"
Dingtea Cơ sở 53, "46 Kim Mã, Hà Nội"
Dingtea Cơ sở 54, "59 Lạc Long Quân, Hà Nội"
Dingtea Cơ sở 55, "185 Quang Trung, Hà Đông, Hà Nội"
Dingtea Cơ sở 56, "150 Lương Định Của, Hà Nội"
Dingtea Cơ sở 57, "1C Hồ Đắc Di, Hà Nội"
Dingtea Cơ sở 58, "279 Ngô Xuân Quảng, Hà Nội"
Dingtea Cơ sở 59, "Sun Square 21 Lê Đức Thọ, Hà Nội"
Dingtea Cơ sở 60, "TTTM The Garden Mễ Trì, Hà Nội"
Dingtea Cơ sở 61, "81 Nguyễn Trãi, Hà Nội"
Dingtea Cơ sở 62, "18 Phố Trúc, Ecopark"
Dingtea Cơ sở 63, "425 Bạch Mai, Hà Nội"
Dingtea Cơ sở 64, "69 Lô 7, Đền Lừ 2, Hà Nội"
Dingtea Cơ sở 65, "42 Nguyễn Thị Định, Hà Nội"
Dingtea Cơ sở 66, "BigC số 3 Lê Trọng Tấn, Hà Nội"
Dingtea Cơ sở 67, "58 Võ Thị Sáu, Hà Nội"
Dingtea Cơ sở 68, "28A Xuân La, Hà Nội"
Dingtea Cơ sở 69, "105 Phố Nhổn, Hà Nội"
Dingtea Cơ sở 70, "125 Trần Huy Liệu, Hà Nội"
Dingtea Cơ sở 71, "32 Trần Nguyên Đán, Định Công, Hà Nội"
Dingtea Cơ sở 72, "85 Nguyễn Khang, Hà Nội"
Dingtea Cơ sở 73, "CT8B Khu đô thị Đại Thanh, Hà Nội"
Dingtea Cơ sở 74, "47B Trần Phú, Thường Tín, Hà Nội"
Dingtea Cơ sở 75, "Học viện cảnh sát, Bắc Từ Liêm, Hà Nội"
Dingtea Cơ sở 76, "13 Nguyễn Thái Học, Sơn Tây, Hà Nội"
Dingtea Cơ sở 77, "Số 3A2 Shop House Vạn Phúc, Tố Hữu, Hà Nội"
Dingtea Cơ sở 78, "A6-A7, Tầng 1 Tòa A TTTM Imperia Garden, Hà Nội"
Bobapop - Taiwan Lattea 166 Ô Chợ Dừa, "166 phố Ô Chợ Dừa, phường Ô Chợ Dừa, quận Đống Đa, Hanoi"
Bobapop - 232 Lạc Trung, "232 Lạc Trung - Hai Bà Trưng, Hanoi, Vietnam"
Bobapop - Taiwan Lattea 290 Thái Hà, "290 Thái Hà, Hanoi, Vietnam"
Bobapop - 7 Trần Nguyên Hãn Hà Nội, "Số 7 Trần Nguyên Hãn , Hoàn Kiếm, Hanoi, Vietnam"
Bobapop - 56 Nguyễn Phong Sắc, "56 Nguyễn Phong Sắc, Hanoi, Vietnam"
Bobapop - 50 Trần Phú,Hà Đông, "50 Trần Phú, Hà Đông, Hanoi, Vietnam"
Bobapop - Taiwan Lattea 120 Tân Mai, "120 Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hanoi"
